City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okha,53.5739,142.9478,-31.639999999999986,94,41,6.04,RU,1674493383
1,san juan,-31.5375,-68.5364,35.84000000000003,21,0,6.01,AR,1674493384
2,jamestown,42.097,-79.2353,-1.2299999999999613,75,100,5.14,US,1674493385
3,ilulissat,69.2167,-51.1,-10.989999999999952,85,75,3.6,GL,1674493385
4,san quintin,30.4833,-115.95,13.439999999999998,49,3,1.46,MX,1674493387
5,santa fe do sul,-20.2111,-50.9258,28.510000000000048,62,91,4.35,BR,1674493387
6,gat,31.61,34.7642,18.55000000000001,100,0,2.77,IL,1674493388
7,puerto ayora,-0.7393,-90.3518,26.980000000000018,92,36,2.68,EC,1674493388
8,sao joao da barra,-21.6403,-41.0511,33.05000000000001,69,100,4.79,BR,1674493389
9,cherskiy,68.75,161.3,-28.019999999999982,94,100,1.73,RU,1674493389
10,misratah,32.3754,15.0925,13.950000000000045,52,40,3.12,LY,1674493390
11,coahuayana,18.7333,-103.6833,28.640000000000043,43,6,1.18,MX,1674493390
12,albany,42.6001,-73.9662,0.7400000000000091,93,100,0.89,US,1674493391
13,lagoa,39.05,-27.9833,15.330000000000041,80,71,13.37,PT,1674493391
14,saskylakh,71.9167,114.0833,-24.75999999999999,78,100,1.37,RU,1674493392
15,denpasar,-8.65,115.2167,26.810000000000002,88,20,1.03,ID,1674493035
16,boueni,-12.9025,45.0761,26.99000000000001,75,100,11.24,YT,1674493393
17,biscarrosse,44.3945,-1.1672,3.0500000000000114,71,80,4.45,FR,1674493393
18,east london,-33.0153,27.9116,26.29000000000002,83,44,8.53,ZA,1674493226
19,constantine,36.365,6.6147,5.670000000000016,75,40,3.6,DZ,1674493394
20,dunedin,-45.8742,170.5036,12.110000000000014,71,81,2.42,NZ,1674493396
21,rio gallegos,-51.6226,-69.2181,25.510000000000048,25,100,11.04,AR,1674493397
22,rikitea,-23.1203,-134.9692,26.0,78,13,7.44,PF,1674493398
23,punta arenas,-53.15,-70.9167,18.010000000000048,60,75,6.69,CL,1674493398
24,areado,-21.3586,-46.1456,23.52000000000004,81,100,2.75,BR,1674493398
25,lithgow,-33.4833,150.15,11.150000000000034,99,74,1.16,AU,1674493399
26,torbay,47.6666,-52.7314,1.82000000000005,92,100,1.79,CA,1674493400
27,pisco,-13.7,-76.2167,27.03000000000003,61,0,7.72,PE,1674493400
28,fairbanks,64.8378,-147.7164,-22.43999999999997,76,100,0.0,US,1674493401
29,tasiilaq,65.6145,-37.6368,-5.909999999999968,66,100,2.93,GL,1674493401
30,eyl,7.9803,49.8164,24.100000000000023,77,18,9.98,SO,1674493402
31,yellowknife,62.456,-114.3525,-14.70999999999998,85,100,6.69,CA,1674493333
32,barrow,71.2906,-156.7887,-22.98999999999998,77,100,7.72,US,1674493403
33,busselton,-33.65,115.3333,18.980000000000018,75,0,7.36,AU,1674493222
34,castro,-24.7911,-50.0119,27.710000000000036,52,74,1.81,BR,1674493346
35,butaritari,3.0707,172.7902,26.939999999999998,79,50,7.08,KI,1674493405
36,nikolskoye,59.7035,30.7861,-4.060000000000002,97,100,1.47,RU,1674493405
37,severo-kurilsk,50.6789,156.125,-6.349999999999966,71,81,14.81,RU,1674493405
38,faya,18.3851,42.4509,13.29000000000002,73,25,1.34,SA,1674493406
39,norman wells,65.282,-126.8329,-20.769999999999982,99,100,1.8,CA,1674493407
40,ponta delgada,37.7333,-25.6667,15.400000000000034,72,75,9.26,PT,1674493408
41,bluff,-46.6,168.3333,10.240000000000009,70,42,0.94,NZ,1674493408
42,hirara,24.8,125.2833,20.670000000000016,77,88,10.35,JP,1674493409
43,atuona,-9.8,-139.0333,25.650000000000034,79,14,7.92,PF,1674493410
44,novooleksiyivka,46.2269,34.6428,2.180000000000007,82,95,5.68,UA,1674493410
45,jawhar,2.7809,45.5005,24.960000000000036,69,29,9.16,SO,1674493410
46,karratha,-20.7377,116.8463,28.120000000000005,65,26,3.27,AU,1674493411
47,bredasdorp,-34.5322,20.0403,21.75,66,25,7.37,ZA,1674493411
48,namibe,-15.1961,12.1522,23.439999999999998,82,100,4.03,AO,1674493412
49,tiksi,71.6872,128.8694,-34.359999999999985,100,84,1.61,RU,1674493412
50,dikson,73.5069,80.5464,-26.25999999999999,89,100,11.55,RU,1674493413
51,te anau,-45.4167,167.7167,5.100000000000023,95,17,0.87,NZ,1674493223
52,carnarvon,-24.8667,113.6333,23.910000000000025,75,5,8.23,AU,1674493205
53,saint-philippe,-21.3585,55.7679,23.77000000000004,88,100,5.25,RE,1674493415
54,talnakh,69.4865,88.3972,-32.66999999999999,93,44,0.74,RU,1674493415
55,mocorito,25.4833,-107.9167,16.230000000000018,36,81,2.22,MX,1674493415
56,kavieng,-2.5744,150.7967,27.340000000000032,81,98,6.9,PG,1674493416
57,hermanus,-34.4187,19.2345,21.0,74,10,7.66,ZA,1674493417
58,kaoma,-14.7833,24.8,19.29000000000002,86,85,4.33,ZM,1674493417
59,vaini,-21.2,-175.2,24.090000000000032,94,40,0.0,TO,1674493418
60,mar del plata,-38.0023,-57.5575,27.680000000000007,61,2,7.6,AR,1674493418
61,paita,-5.0892,-81.1144,25.430000000000007,64,11,3.93,PE,1674493419
62,russell,32.3502,-85.1999,11.600000000000023,62,0,6.69,US,1674493419
63,hamilton,39.1834,-84.5333,2.160000000000025,85,100,3.6,US,1674493201
64,qaanaaq,77.484,-69.3632,-29.67999999999998,54,2,3.44,GL,1674493420
